50	0	2025-01-26 10:04:50.662510024Z	1657	-0.573821	-0.57996	-0.578253	-17015.9	-6499.45	-9422.97	622	-999999	-999999	-999999	-999999	1657
51	0	2025-01-26 10:04:50.755052360Z	2253	-0.580105	-0.579764	-0.572146	-5307.93	-5892.55	-18954.4	523	-999999	-999999	-999999	-999999	2253
52	0	2025-01-26 10:04:50.814977608Z	2184	-0.575746	-0.583756	-0.572491	-11343.9	2411.17	-16932.1	321	-999999	-999999	-999999	-999999	2184
53	0	2025-01-26 10:04:50.858182184Z	1291	-0.570924	-0.580721	-0.580352	-19907.4	-3088.7	-3722.65	509	-999999	-999999	-999999	-999999	1291
54	0	2025-01-26 10:04:50.865347256Z	897	-0.576859	-0.571618	-0.583512	-9175.11	-18176.4	2251.77	512	-999999	-999999	-999999	-999999	897
55	0	2025-01-26 10:04:50.904428408Z	2169	-0.578509	-0.58501	-0.56841	1321.56	12574.3	-16159.2	309	-999999	-999999	-999999	-999999	2169
56	0	2025-01-26 10:04:50.922539480Z	1296	0.58488	0.489305	-0.646913	-18986.3	-5854.02	-5049.88	522	-6415.1	4662.92	-18954.4	585	2298
57	0	2025-01-26 10:04:51.179007608Z	1028	-0.568241	-0.584646	-0.579044	-16446.4	11948.9	2251.77	353	-999999	-999999	-999999	-999999	1028
58	0	2025-01-26 10:04:51.357769368Z	1955	-0.578823	-0.584651	-0.568461	4869.74	14987.7	-13118.5	565	-999999	-999999	-999999	-999999	1955
59	0	2025-01-26 10:04:51.402216728Z	2358	-0.582415	-0.580156	-0.569396	2034.05	-1853.58	-20365.5	543	-999999	-999999	-999999	-999999	2358
60	0	2025-01-26 10:04:51.413427256Z	1878	-0.583872	-0.573343	-0.574779	2494.75	-15583.6	-13118.5	540	-999999	-999999	-999999	-999999	1878
61	0	2025-01-26 10:04:51.520260424Z	933	-0.793863	0.0399364	-0.606784	15472.8	-13370.8	1436.73	534	-6286.48	-12276.2	-15194.8	624	2135
62	0	2025-01-26 10:04:51.532161832Z	1870	-0.581952	-0.574316	-0.575754	-2494.64	-15583.6	-13118.5	565	-999999	-999999	-999999	-999999	1870
63	0	2025-01-26 10:04:51.777208392Z	2297	-0.577794	-0.5843	-0.569866	-5305.44	5894.8	-18954.4	536	-999999	-999999	-999999	-999999	2297
64	0	2025-01-26 10:04:51.948060936Z	890	-0.574546	-0.57367	-0.583781	-13602.6	-15107.3	2251.77	501	-999999	-999999	-999999	-999999	890
65	0	2025-01-26 10:04:52.142519784Z	979	-0.156368	-0.842782	-0.515042	14207	14678.4	1719.53	71	9363.48	-11426.8	-14233.9	591	2145
66	0	2025-01-26 10:04:52.509879240Z	1291	-0.570924	-0.580721	-0.580352	-19907.4	-3088.7	-3722.65	482	-999999	-999999	-999999	-999999	1291
67	0	2025-01-26 10:04:52.653597816Z	2106	-0.574581	-0.586402	-0.570955	-7974.12	12436.2	-14233.9	443	-999999	-999999	-999999	-999999	2106
68	0	2025-01-26 10:04:52.910853272Z	1206	0.142456	-0.627106	-0.765797	10749.8	17423.6	-1053.79	511	13201.6	6630.5	-14233.9	575	2159
69	0	2025-01-26 10:04:53.260435400Z	1927	-0.584441	-0.578917	-0.568581	15528.5	5931.3	-12029.9	461	-999999	-999999	-999999	-999999	1927
70	0	2025-01-26 10:04:53.576902936Z	909	-0.256269	0.838306	-0.481217	-1875.16	-20361.9	1457.83	492	-10743.4	8647.87	-15194.8	650	2112
71	0	2025-01-26 10:04:53.598819912Z	933	-0.583609	0.167966	-0.794473	15459.7	-13389.4	1404.35	541	967.476	-9218.41	-18324.1	639	2259
72	0	2025-01-26 10:04:53.705746584Z	2273	-0.584295	-0.578841	-0.568808	7757.07	-1650.53	-18954.4	516	-999999	-999999	-999999	-999999	2273
73	0	2025-01-26 10:04:53.844325656Z	1175	-0.58418	-0.575446	-0.57236	19906.5	4657.54	-730.744	413	-999999	-999999	-999999	-999999	1175
74	0	2025-01-26 10:04:54.122498760Z	1090	0.116007	0.685194	-0.719063	-10439.7	-17488	-2330.62	556	-7757.77	-1647.25	-18954.4	120	2246
75	0	2025-01-26 10:04:54.139905880Z	1853	-0.578078	-0.577397	-0.576575	-10544.8	-11711.2	-13118.5	575	-999999	-999999	-999999	-999999	1853
76	0	2025-01-26 10:04:54.232138744Z	1506	-0.580138	-0.573097	-0.578792	-5807.46	-17873.5	-8113.87	557	-999999	-999999	-999999	-999999	1506
77	0	2025-01-26 10:04:54.244967864Z	2155	-0.585295	-0.577987	-0.568648	12643.5	0.0493	-16159.2	553	-999999	-999999	-999999	-999999	2155
78	0	2025-01-26 10:04:54.287656616Z	1949	-0.580235	-0.583556	-0.568146	7879.44	13647.7	-13118.5	536	-999999	-999999	-999999	-999999	1949
79	0	2025-01-26 10:04:54.663653048Z	2077	-0.583162	-0.580861	-0.567911	12264.1	8268.87	-14209.4	551	-999999	-999999	-999999	-999999	2077
80	0	2025-01-26 10:04:54.729884888Z	871	-0.569691	-0.579582	-0.582699	-20122.1	-3109.37	2251.77	470	-999999	-999999	-999999	-999999	871
81	0	2025-01-26 10:04:54.761625992Z	2259	-0.582225	-0.578113	-0.571664	-830.653	-7887.1	-18954.4	623	-999999	-999999	-999999	-999999	2259
82	0	2025-01-26 10:04:54.967268424Z	1994	0.879292	-0.29739	-0.372029	-14780.6	6759.77	-12493.6	466	3528.99	567.199	-20240.4	573	2320
83	0	2025-01-26 10:04:55.108226904Z	1441	0.590984	-0.266489	-0.761394	-13012.1	15661	-2380.66	428	-1095.19	10287.4	-17733.8	505	2289
84	0	2025-01-26 10:04:55.200788728Z	1909	-0.586636	-0.57487	-0.570424	16049.2	-4328.9	-12029.9	525	-999999	-999999	-999999	-999999	1909
85	0	2025-01-26 10:04:55.415159416Z	2280	-0.582998	-0.58089	-0.568049	6562.71	2921.94	-19246.9	634	-999999	-999999	-999999	-999999	2280
86	0	2025-01-26 10:04:55.458435256Z	867	-0.568906	-0.581436	-0.581617	-20383.4	1191.92	1503.73	448	-999999	-999999	-999999	-999999	867
87	0	2025-01-26 10:04:55.754046584Z	892	0.2328	0.724466	-0.648809	-14863.7	-14114	342.1	500	-8377.84	6069.73	-17733.8	645	2180
88	0	2025-01-26 10:04:55.857770504Z	901	0.994364	-0.105871	-0.00557393	-7414.18	-18961.4	2311.61	469	3261.02	-20098	2251.77	494	915
88	1	2025-01-26 10:04:55.857770504Z	901	0.532321	0.142773	-0.834416	-7414.18	-18961.4	2311.61	469	1735.07	-16507.5	-12029.9	500	1874
89	0	2025-01-26 10:04:55.999199976Z	913	-0.88114	0.450421	-0.14392	989.011	-20336.8	2251.77	522	-17271.3	-11002.5	-730.744	532	1069
89	1	2025-01-26 10:04:55.999199976Z	913	-0.695695	0.618188	-0.365858	989.011	-20336.8	2251.77	522	-18615.1	-2916.76	-8057.81	596	1474
90	0	2025-01-26 10:04:56.415805832Z	2155	-0.585295	-0.577987	-0.568648	12643.5	0.0493	-16159.2	558	-999999	-999999	-999999	-999999	2155
91	0	2025-01-26 10:04:56.697301224Z	2377	-0.579993	-0.582788	-0.569181	-1629.95	3180.99	-20240.4	123	-999999	-999999	-999999	-999999	2377
92	0	2025-01-26 10:04:56.800478424Z	1909	-0.586636	-0.57487	-0.570424	16049.2	-4328.9	-12029.9	544	-999999	-999999	-999999	-999999	1909
93	0	2025-01-26 10:04:56.842666808Z	921	0.48093	0.384194	-0.7881	8401.89	-18648.3	1378.06	535	12422.7	-15436.3	-5210.75	556	1532
94	0	2025-01-26 10:04:56.952552040Z	2077	-0.583162	-0.580861	-0.567911	12264.1	8268.87	-14209.4	466	-999999	-999999	-999999	-999999	2077
95	0	2025-01-26 10:04:56.952690760Z	1457	0.62122	0.312402	-0.718673	-17933.5	8636.7	-4903.64	400	-11773.6	11734.4	-12029.9	463	1985
96	0	2025-01-26 10:04:56.964102968Z	2112	-0.574601	-0.585918	-0.571431	-9732.7	9772.34	-15194.8	513	-999999	-999999	-999999	-999999	2112
