,,,,,,,,,,,,,,
RUN 2642 – 26 gennaio,,,direzione,,,entry point [mm],,,tempo [ns],exit point [mm],,,tempo [ns],quality
event,traccia,charge [p.e.],ux,uy,uz,x,y,z,,x,y,z,,
3478,0,923,0.542149,0.622637,-0.564267,6529.06,-19421.3,659.084,531,16215.9,-8296.32,-9422.97,636,1727
3479,0,1951,-0.578941,-0.584423,-0.568575,5982.78,15508.7,-12029.9,537,-999999,-999999,-999999,-999999,1951
3480,0,1931,-0.584126,-0.579527,-0.568282,14396.5,6409.81,-13118.5,495,-999999,-999999,-999999,-999999,1931
3481,0,973,-0.581339,-0.577818,-0.572862,17143.4,10982.1,2311.61,432,-999999,-999999,-999999,-999999,973
3482,0,925,-0.583922,-0.568096,-0.579916,9175.25,-18176.4,2251.77,507,-999999,-999999,-999999,-999999,925
3483,0,1735,-0.586291,-0.575252,-0.570392,18188.4,-983.461,-9422.97,534,-999999,-999999,-999999,-999999,1735
3484,0,2141,-0.583428,-0.575331,-0.573242,1321.66,-12574.3,-16159.2,566,-999999,-999999,-999999,-999999,2141
3485,0,2160,-0.583741,-0.580346,-0.567841,10594.7,4717.09,-16932.1,396,-999999,-999999,-999999,-999999,2160
3486,0,865,-0.568774,-0.581266,-0.581916,-20324.4,1191.92,2311.61,452,-999999,-999999,-999999,-999999,865
3487,0,2231,-0.578326,-0.584916,-0.568693,-1095.19,10287.4,-17733.8,449,-999999,-999999,-999999,-999999,2231
3488,0,1276,0.594909,-0.652895,-0.468842,-19153.9,6996.12,-2105.74,387,-1321.56,-12574.3,-16159.2,589,2141
3489,0,1057,-0.570531,-0.580511,-0.580949,-20144.6,-3003.34,-2251.77,495,-999999,-999999,-999999,-999999,1057
3490,0,961,-0.353074,-0.801132,-0.483246,20122.1,3109.37,2251.77,532,12589.6,-13982,-8057.81,574,1535
3490,1,961,-0.523667,0.10278,-0.8457,20122.1,3109.37,2251.77,532,7381.26,5610.01,-18324.1,540,2222
3491,0,961,-0.583988,-0.574248,-0.573757,20122.1,3109.37,2251.77,388,-999999,-999999,-999999,-999999,961
3492,0,2206,-0.584229,-0.576866,-0.570878,4633.3,-8027.93,-18324.1,536,-999999,-999999,-999999,-999999,2206
3493,0,945,-0.568981,-0.412364,-0.711489,18859.8,-7974.26,983.814,543,9580.61,-14699.3,-10619.5,579,1886
3494,0,2003,-0.573257,-0.584139,-0.574594,-15414.6,3276.42,-13118.5,579,-999999,-999999,-999999,-999999,2003
3495,0,2195,-0.580528,-0.578307,-0.573191,-5160.75,-8966.41,-17733.8,565,-999999,-999999,-999999,-999999,2195
3496,0,2250,-0.579093,-0.581215,-0.571699,-6562.71,-2921.94,-19246.9,603,-999999,-999999,-999999,-999999,2250
3497,0,2304,-0.578047,-0.583007,-0.570933,-7026.82,1493.57,-19246.9,583,-999999,-999999,-999999,-999999,2304
3498,0,2164,-0.581897,-0.582393,-0.567639,7760.08,8618.51,-16932.1,470,-999999,-999999,-999999,-999999,2164
3499,0,1303,0.317257,0.676182,-0.664926,-17222.4,-10117.9,-4611.58,407,-11343.9,2411.17,-16932.1,660,2183
3500,0,1776,-0.57783,-0.584987,-0.569125,4513.01,16955.5,-10619.5,372,-999999,-999999,-999999,-999999,1776
3501,0,1884,-0.584926,-0.573058,-0.573992,5680.25,-14724.3,-13118.5,550,-999999,-999999,-999999,-999999,1884
3502,0,1074,0.370248,0.151393,-0.916513,-16649.2,-11751.8,-2224.71,500,-12248.4,-9952.31,-13118.5,587,2021
3503,0,2105,-0.574908,-0.586431,-0.570595,-6783.11,13123.8,-14233.9,372,-999999,-999999,-999999,-999999,2105
3504,0,2199,-0.582368,-0.576991,-0.572651,-1067.61,-10290.3,-17733.8,615,-999999,-999999,-999999,-999999,2199
3505,0,1582,-0.581423,-0.581398,-0.569143,13345.5,13301.4,-8057.81,395,-999999,-999999,-999999,-999999,1582
3506,0,963,-0.84072,0.54147,0,19647.1,5343.97,2251.77,413,-3261.02,20098,2251.77,402,1005
3506,1,963,-0.637256,0.67003,-0.380743,19647.1,5343.97,2251.77,413,7156.92,18476.5,-5210.75,412,1414
3507,0,2330,-0.579243,-0.583461,-0.569255,-2658.08,4603.88,-19854.9,472,-999999,-999999,-999999,-999999,2330
3508,0,2191,-0.578725,-0.580049,-0.573255,-8361.55,-6092.16,-17733.8,606,-999999,-999999,-999999,-999999,2191
3509,0,2184,-0.575746,-0.583756,-0.572491,-11343.9,2411.17,-16932.1,576,-999999,-999999,-999999,-999999,2184
3510,0,1913,-0.5864,-0.575606,-0.569923,15414.6,-3276.42,-13118.5,562,-999999,-999999,-999999,-999999,1913
3511,0,1811,-0.132606,-0.927049,-0.350707,-14461.4,9940.43,-10597.5,485,-15414.6,3276.42,-13118.5,534,2183
3512,0,2101,-0.575738,-0.586313,-0.569879,-4074.36,14219,-14209.4,502,-999999,-999999,-999999,-999999,2101
3513,0,901,-0.577681,-0.570961,-0.583342,-7414.18,-18961.4,2311.61,501,-999999,-999999,-999999,-999999,901
3514,0,1310,0.576141,0.389983,-0.718314,-12923.5,-15383.9,-4070.51,547,-750.884,-7144.44,-19246.9,576,2260
3515,0,1097,0.0998683,0.519435,-0.848654,-5106.87,-19773.1,-1503.73,173,-3196.94,-9839.17,-17733.8,603,2197
3515,1,1203,-0.430923,-0.274254,-0.859704,13292.8,15386.2,-2251.77,514,6321.73,10949.7,-16159.2,539,2165
3516,0,2119,-0.574292,-0.585067,-0.572613,-12306.7,6225.2,-15194.8,494,-999999,-999999,-999999,-999999,2119
3517,0,1612,-0.572664,-0.586898,-0.572369,-6845.68,17839.5,-7357.99,344,-999999,-999999,-999999,-999999,1612
3518,0,1944,-0.581276,-0.58264,-0.568021,9911.54,12281.4,-13118.5,471,-999999,-999999,-999999,-999999,1944
3519,0,895,0.331136,0.166484,-0.92878,-10769,-17428.9,715.766,499,-6027.21,-15044.9,-12584.1,570,2029
3520,0,2175,-0.575878,-0.585887,-0.570176,-6321.81,10949.6,-16159.2,439,-999999,-999999,-999999,-999999,2175
3521,0,1377,-0.464533,-0.678518,-0.569055,20250.2,1017.63,-3024.03,540,12446.1,-10381.4,-12584.1,226,2151
3522,0,884,-0.572829,-0.575448,-0.583718,-16446.3,-11949,2251.77,509,-999999,-999999,-999999,-999999,884
3523,0,1098,-0.578574,-0.571868,-0.581567,-7446.57,-18950.8,-2311.61,514,-999999,-999999,-999999,-999999,1098
3524,0,1971,-0.57518,-0.586545,-0.570204,-3967.08,15714.3,-12584.1,545,-999999,-999999,-999999,-999999,1971
3525,0,1008,-0.57206,-0.58554,-0.574361,-3278.28,20207.9,730.744,134,-999999,-999999,-999999,-999999,1008
3526,0,2247,-0.578323,-0.581885,-0.571797,-7757.77,-1647.25,-18954.4,546,-999999,-999999,-999999,-999999,2247
3527,0,1581,-0.580369,-0.582025,-0.569577,12187.4,15074.9,-6634.82,443,-999999,-999999,-999999,-999999,1581
3528,0,1412,0.0387853,-0.468258,-0.88274,6736.33,18965.4,-3897.07,381,7141.5,14073.8,-13118.5,459,2165
3529,0,945,-0.454397,0.0124093,-0.890713,19035.9,-7224.9,2251.77,573,9235.58,-6957.26,-16958.9,671,2150
3529,1,1071,0.57354,0.692184,-0.438102,-16291.1,-12351.6,-730.744,633,3907.02,12024.7,-16159.2,653,2167
3530,0,943,-0.585611,-0.56984,-0.576491,18106.7,-9311.91,2251.77,277,-999999,-999999,-999999,-999999,943
3531,0,2274,-0.584042,-0.5791,-0.568804,7026.82,-1493.57,-19246.9,31,-999999,-999999,-999999,-999999,2274
3532,0,943,-0.585611,-0.56984,-0.576491,18106.7,-9311.91,2251.77,54,-999999,-999999,-999999,-999999,943
3533,0,2360,-0.582712,-0.580334,-0.56891,3528.91,-567.175,-20240.4,152,-999999,-999999,-999999,-999999,2360
3534,0,2003,-0.573257,-0.584139,-0.574594,-15414.6,3276.42,-13118.5,568,-999999,-999999,-999999,-999999,2003
3535,0,909,-0.411726,0.396927,-0.820323,-1176.71,-20394.9,1706.33,523,-8617.39,-13221.7,-13118.5,597,2025
3536,0,945,-0.464331,0.261415,-0.846203,18869.4,-7906.66,1296.79,545,7757.07,-1650.53,-18954.4,624,2274
3537,0,1040,-0.568376,-0.582358,-0.581213,-19884.6,4226.53,2251.77,393,-999999,-999999,-999999,-999999,1040
3538,0,2198,-0.581586,-0.577969,-0.57246,-2674.08,-8877.19,-18324.1,613,-999999,-999999,-999999,-999999,2198
3539,0,2198,-0.581586,-0.577969,-0.57246,-2674.08,-8877.19,-18324.1,52,-999999,-999999,-999999,-999999,2198
3540,0,1829,-0.573627,-0.583261,-0.575116,-15722.3,809.924,-13166,522,-999999,-999999,-999999,-999999,1829
3541,0,2086,-0.58013,-0.583784,-0.568019,6783.01,13123.9,-14233.9,433,-999999,-999999,-999999,-999999,2086
3542,0,2163,-0.581865,-0.582405,-0.56766,8460.14,9396.01,-16159.2,470,-999999,-999999,-999999,-999999,2163
3543,0,1434,0.121441,-0.857553,-0.499855,-7110.89,18628,-4762.54,457,-3591.87,-6221.36,-19246.9,557,2255
3544,0,956,-0.584662,-0.573014,-0.574304,20328.8,0.0729,2251.77,449,-999999,-999999,-999999,-999999,956
3545,0,2056,-0.586145,-0.575096,-0.5707,11414.3,-7651.51,-15236.7,526,-999999,-999999,-999999,-999999,2056
3546,0,949,-0.585431,-0.571082,-0.575444,19647.1,-5343.82,2251.77,489,-999999,-999999,-999999,-999999,949
3547,0,922,-0.583021,-0.568511,-0.580415,5224.58,-19794.2,730.744,531,-999999,-999999,-999999,-999999,922
3548,0,885,0.559726,-0.0278561,-0.828209,-15896.2,-12851.5,1548.8,468,-4899.23,-13398.8,-14723.1,419,2137
3549,0,2079,-0.582687,-0.581448,-0.567798,11111.5,8961.71,-14723.1,531,-999999,-999999,-999999,-999999,2079
3550,0,1816,-0.57178,-0.585495,-0.574685,-15620.3,7991.52,-10619.5,469,-999999,-999999,-999999,-999999,1816
3551,0,2159,-0.583874,-0.580175,-0.56788,11550.4,5142.63,-16159.2,545,-999999,-999999,-999999,-999999,2159
3552,0,951,-0.585181,-0.571855,-0.57493,20122.1,-3109.22,2251.77,538,-999999,-999999,-999999,-999999,951
3553,0,995,-0.575895,-0.583405,-0.572698,6316.2,19439.5,730.744,257,-999999,-999999,-999999,-999999,995
3554,0,1796,-0.572588,-0.586945,-0.572398,-9094.25,15751.6,-9422.97,530,-999999,-999999,-999999,-999999,1796
3555,0,1899,-0.586555,-0.57333,-0.572054,12446.1,-10381.4,-12584.1,542,-999999,-999999,-999999,-999999,1899
3556,0,2151,-0.585885,-0.576217,-0.569836,11550.5,-5142.54,-16159.2,584,-999999,-999999,-999999,-999999,2151
3557,0,1989,-0.572497,-0.585843,-0.573616,-13956,9030.14,-12029.9,457,-999999,-999999,-999999,-999999,1989
3558,0,1251,0.110708,-0.6265,-0.771519,-10859.3,17308.8,-1653.15,454,-8467.12,3771.35,-18324.1,547,2243
3559,0,2325,-0.581289,-0.582417,-0.568237,2658.04,4603.9,-19854.9,446,-999999,-999999,-999999,-999999,2325
3560,0,1372,-0.586646,-0.572653,-0.572639,19123.4,-5186.39,-5210.75,507,-999999,-999999,-999999,-999999,1372
3561,0,1330,-0.580919,-0.571361,-0.579724,-3159.05,-19560.7,-5210.75,514,-999999,-999999,-999999,-999999,1330
3562,0,2135,-0.580161,-0.577459,-0.574417,-6321.73,-10949.6,-16159.2,605,-999999,-999999,-999999,-999999,2135
3563,0,1804,-0.572474,-0.586756,-0.572705,-11019.4,13654,-10619.5,405,-999999,-999999,-999999,-999999,1804
3564,0,920,-0.583039,-0.568197,-0.580704,6282.02,-19333.8,2251.77,532,-999999,-999999,-999999,-999999,920
3565,0,2105,-0.574908,-0.586431,-0.570595,-6783.11,13123.8,-14233.9,454,-999999,-999999,-999999,-999999,2105
3566,0,2263,-0.583419,-0.577603,-0.570962,2449.13,-7543.08,-18954.4,579,-999999,-999999,-999999,-999999,2263
3567,0,2369,-0.581687,-0.581583,-0.568684,2034.08,1853.62,-20365.5,629,-999999,-999999,-999999,-999999,2369
3568,0,2087,-0.580878,-0.583248,-0.567806,7477.5,11588.5,-15194.8,426,-999999,-999999,-999999,-999999,2087
3569,0,897,-0.576859,-0.571618,-0.583512,-9175.11,-18176.4,2251.77,536,-999999,-999999,-999999,-999999,897
3570,0,1303,0.285991,0.690453,-0.664443,-16861.5,-10909.7,-4113,515,-11343.9,2411.17,-16932.1,594,2184
3571,0,1902,-0.58655,-0.57383,-0.571557,12719.7,-9241.36,-13166,566,-999999,-999999,-999999,-999999,1902
3572,0,891,0.47049,0.276161,-0.838078,-11880.1,-16636.8,1526.28,514,-1067.61,-10290.3,-17733.8,623,2140
3573,0,922,-0.583021,-0.568511,-0.580415,5224.58,-19794.2,730.744,509,-999999,-999999,-999999,-999999,922
3574,0,1039,0.550792,0.476378,-0.685341,-19937.5,4532.28,1484.2,391,-9076.59,13925.9,-12029.9,467,1979
3575,0,940,-0.343675,0.192242,-0.919201,17397.6,-10841.8,-170.962,526,11956.8,-7798.39,-14723.1,595,2149
3576,0,2144,-0.584144,-0.575638,-0.572203,3583.81,-11029.7,-16932.1,518,-999999,-999999,-999999,-999999,2144
3577,0,2075,-0.584219,-0.579674,-0.568037,12861,4980.17,-15194.8,543,-999999,-999999,-999999,-999999,2075
3578,0,877,0.361048,0.191457,-0.912682,-19415.7,-6366.45,1658.37,533,-12367.2,-2628.79,-16159.2,562,2128
3579,0,960,-0.584776,-0.573721,-0.573482,20439.9,1148.03,730.744,492,-999999,-999999,-999999,-999999,960
3580,0,960,-0.584776,-0.573721,-0.573482,20439.9,1148.03,730.744,453,-999999,-999999,-999999,-999999,960
3581,0,987,-0.888746,-0.383877,-0.250537,10386.2,17604.3,1570.37,355,-18720.7,5032.15,-6634.82,450,1640
3582,0,2263,-0.583419,-0.577603,-0.570962,2449.13,-7543.08,-18954.4,515,-999999,-999999,-999999,-999999,2263
3583,0,2093,-0.578095,-0.585235,-0.5686,2226.35,14604.4,-14233.9,432,-999999,-999999,-999999,-999999,2093
3584,0,909,-0.602801,0.403725,-0.688213,-2219.93,-20349.6,1102.93,555,-11439.5,-14174.8,-9422.97,568,1671
3585,0,959,-0.176494,-0.47198,-0.863762,20439.9,0.0734,730.744,395,18934.8,-4024.65,-6634.82,530,1550
3585,1,959,-0.566429,0.119263,-0.815435,20439.9,0.0734,730.744,395,6562.71,2921.94,-19246.9,607,2280
3586,0,1343,0.121372,0.535236,-0.835937,6761.11,-18579.8,-5415.44,539,7879.54,-13647.7,-13118.5,585,1889
3587,0,1665,-0.575915,-0.577463,-0.578669,-14136.6,-11486.6,-9422.97,539,-999999,-999999,-999999,-999999,1665
3588,0,937,-0.585395,-0.568882,-0.577655,15742.2,-12910.7,2311.61,509,-999999,-999999,-999999,-999999,937
3589,0,1925,-0.585123,-0.578129,-0.568681,15414.6,3276.53,-13118.5,552,-999999,-999999,-999999,-999999,1925
3590,0,1372,-0.586646,-0.572653,-0.572639,19123.4,-5186.39,-5210.75,539,-999999,-999999,-999999,-999999,1372
3591,0,1713,-0.586595,-0.571677,-0.573666,12901.4,-12858.4,-9422.97,557,-999999,-999999,-999999,-999999,1713
3592,0,1699,-0.584382,-0.571418,-0.576176,4685.2,-17602.1,-9422.97,541,-999999,-999999,-999999,-999999,1699
3593,0,908,-0.57998,-0.569464,-0.582524,-2124.87,-20217.5,2251.77,544,-999999,-999999,-999999,-999999,908
3594,0,883,0.505832,0.00352813,-0.862625,-17117.7,-11024.9,2251.77,528,-6321.73,-10949.6,-16159.2,607,2135
3594,1,883,0.570329,0.541097,-0.618012,-17117.7,-11024.9,2251.77,528,2452.32,7542.05,-18954.4,631,2287
3595,0,921,-0.417849,0.472969,-0.775695,6960.52,-19236.1,1331.07,537,-3966.81,-6867.37,-18954.4,618,2254
3596,0,1019,-0.572495,-0.798679,-0.185371,-10518.7,17579.5,752.774,339,-19797.9,4634.3,-2251.77,361,1460
3597,0,1570,-0.584312,-0.578066,-0.569578,17601.9,6723.32,-8057.81,411,-999999,-999999,-999999,-999999,1570
3598,0,873,0.888997,0.0331525,-0.456712,-19851.5,-4767.94,1852.87,484,13332,-3530.46,-15194.8,652,2153
3599,0,1878,-0.583872,-0.573343,-0.574779,2494.75,-15583.6,-13118.5,527,-999999,-999999,-999999,-999999,1878
3600,0,933,-0.585193,-0.568582,-0.578155,14451.5,-14342.9,2251.77,521,-999999,-999999,-999999,-999999,933
3601,0,898,-0.576163,-0.572717,-0.583123,-11214,-17127.5,730.744,483,-999999,-999999,-999999,-999999,898
3602,0,2279,-0.583144,-0.580816,-0.567975,7245.76,3224.18,-18954.4,514,-999999,-999999,-999999,-999999,2279
3603,0,2308,-0.580126,-0.580811,-0.571063,-4300.82,-3124.75,-19854.9,563,-999999,-999999,-999999,-999999,2308
3604,0,1087,-0.577127,-0.572434,-0.582447,-9858.83,-17909.9,-730.744,546,-999999,-999999,-999999,-999999,1087
3605,0,1040,-0.568376,-0.582358,-0.581213,-19884.6,4226.53,2251.77,441,-999999,-999999,-999999,-999999,1040
3606,0,1747,-0.584395,-0.578352,-0.569203,17015.9,6499.45,-9422.97,511,-999999,-999999,-999999,-999999,1747
3607,0,883,0.743143,0.669133,0,-17117.7,-11024.9,2251.77,490,12753.7,15871.6,2251.77,576,981
3607,1,883,0.768971,0.309086,-0.559597,-17117.7,-11024.9,2251.77,490,10345.5,13.8622,-17733.8,621,2215
3608,0,922,-0.621425,0.355328,-0.698264,5027.38,-19870.4,375.129,505,-7974.03,-12436.3,-14233.9,611,2027
3609,0,896,-0.440113,0.721227,-0.534914,-10458.4,-17580.4,1341.72,532,-18192.1,-4906.99,-8057.81,578,1652
3610,0,937,-0.585395,-0.568882,-0.577655,15742.2,-12910.7,2311.61,515,-999999,-999999,-999999,-999999,937
3611,0,1258,0.0935632,-0.930905,-0.353074,-13266.4,15366.9,-2848.33,371,-10544.8,-11711.2,-13118.5,673,1853
3612,0,2144,-0.584144,-0.575638,-0.572203,3583.81,-11029.7,-16932.1,575,-999999,-999999,-999999,-999999,2144
3613,0,2022,-0.578699,-0.577494,-0.575854,-9363.4,-11426.8,-14233.9,578,-999999,-999999,-999999,-999999,2022
3614,0,2115,-0.574427,-0.585687,-0.571843,-10743.4,8647.87,-15194.8,498,-999999,-999999,-999999,-999999,2115
3615,0,1501,0.430569,0.404069,-0.807055,-6183.42,-18317.9,-6816.79,554,-2226.35,-14604.4,-14233.9,602,2139
3616,0,2303,-0.577677,-0.583154,-0.571158,-7757.07,1650.53,-18954.4,540,-999999,-999999,-999999,-999999,2303
3617,0,1028,0.558241,-0.354375,-0.750191,-16741.5,11751.1,1372.48,400,-463.994,1418.06,-20502,474,2398
3618,0,979,-0.832847,-0.119744,-0.540395,15473.8,13396.4,1160.52,360,-9732.7,9772.34,-15194.8,482,2177
3619,0,2204,-0.583705,-0.576907,-0.571373,2862.95,-8815.82,-18324.1,566,-999999,-999999,-999999,-999999,2204
3620,0,2182,-0.575586,-0.584493,-0.571899,-10594.7,4717.01,-16932.1,517,-999999,-999999,-999999,-999999,2182
3621,0,997,0.152398,-0.625908,-0.764862,3116.26,20184.2,1770.82,453,7245.76,3224.18,-18954.4,517,2219
3622,0,1672,-0.57699,-0.577014,-0.578046,-12427.3,-12386.2,-10619.5,544,-999999,-999999,-999999,-999999,1672
3623,0,2024,-0.579002,-0.577834,-0.575209,-8701.47,-10700.9,-15194.8,552,-999999,-999999,-999999,-999999,2024
3624,0,1384,-0.567941,-0.726679,-0.386499,19473.6,3113.65,-5597.69,487,6783.11,-13123.8,-14233.9,606,2042
3625,0,1607,-0.574514,-0.586417,-0.571007,-1966.75,18711.7,-8057.81,301,-999999,-999999,-999999,-999999,1607
3626,0,2021,-0.578122,-0.578052,-0.575874,-10385.4,-10506.6,-14233.9,547,-999999,-999999,-999999,-999999,2021
3627,0,1064,-0.572257,-0.577332,-0.582418,-18164,-9456.25,-730.744,519,-999999,-999999,-999999,-999999,1064
3628,0,2187,-0.577273,-0.581911,-0.572831,-10116.6,-2164.51,-17733.8,573,-999999,-999999,-999999,-999999,2187
3629,0,1637,0.804074,0.10624,-0.58496,-17368.5,7966.72,-7424.05,411,-3196.94,9839.17,-17733.8,515,2231
3630,0,925,0.582288,0.75287,-0.306802,9534.67,-18085.8,1497.72,532,19442.6,-5275.39,-3722.65,534,1369
3631,0,2317,-0.583586,-0.578948,-0.569427,4624.84,-3360.12,-19750.3,530,-999999,-999999,-999999,-999999,2317
3632,0,2131,-0.577956,-0.57959,-0.574493,-10228.8,-7431.72,-16159.2,560,-999999,-999999,-999999,-999999,2131
3633,0,1814,-0.571278,-0.585228,-0.575456,-16615.9,7397.82,-9422.97,451,-999999,-999999,-999999,-999999,1814
3634,0,2111,-0.574818,-0.586069,-0.571058,-8710.69,10692.6,-15194.8,488,-999999,-999999,-999999,-999999,2111
3635,0,2184,-0.575746,-0.583756,-0.572491,-11343.9,2411.17,-16932.1,536,-999999,-999999,-999999,-999999,2184
3636,0,2190,-0.578342,-0.581083,-0.572593,-8468.26,-3768.77,-18324.1,539,-999999,-999999,-999999,-999999,2190
3637,0,897,-0.576859,-0.571618,-0.583512,-9175.11,-18176.4,2251.77,103,-999999,-999999,-999999,-999999,897
3638,0,903,-0.530677,0.54222,-0.651444,-7432.41,-19017.5,1503.73,562,-15221.4,-11059.1,-8057.81,628,1487
3638,1,923,-0.475599,0.43399,-0.765152,6316.34,-19439.4,730.744,535,-5160.75,-8966.41,-17733.8,644,2195
3639,0,2331,-0.579024,-0.583387,-0.569554,-3557.19,3950.63,-19854.9,589,-999999,-999999,-999999,-999999,2331
3640,0,2055,-0.586281,-0.574835,-0.570823,11956.8,-7798.39,-14723.1,513,-999999,-999999,-999999,-999999,2055
3641,0,2325,-0.581289,-0.582417,-0.568237,2658.04,4603.9,-19854.9,437,-999999,-999999,-999999,-999999,2325
3642,0,1763,-0.883628,-0.071434,-0.462708,10824.3,13342.5,-11183.1,393,1321.56,12574.3,-16159.2,445,2169
3643,0,1320,-0.578305,-0.573226,-0.580496,-8965.78,-17668,-5210.75,540,-999999,-999999,-999999,-999999,1320
3644,0,1878,-0.583872,-0.573343,-0.574779,2494.75,-15583.6,-13118.5,586,-999999,-999999,-999999,-999999,1878
3645,0,2323,-0.582267,-0.581534,-0.56814,4624.81,3360.15,-19750.3,575,-999999,-999999,-999999,-999999,2323
3646,0,2238,-0.577132,-0.584734,-0.570092,-6201.15,6889.18,-18324.1,427,-999999,-999999,-999999,-999999,2238
3647,0,1568,-0.583849,-0.57822,-0.569897,17684.2,7873.61,-6634.82,504,-999999,-999999,-999999,-999999,1568
3648,0,2365,-0.582153,-0.58124,-0.568557,3188.33,1615.39,-20240.4,515,-999999,-999999,-999999,-999999,2365
3649,0,1794,-0.573805,-0.586866,-0.571259,-6261.97,16356.5,-10671.9,317,-999999,-999999,-999999,-999999,1794
3650,0,2112,-0.574601,-0.585918,-0.571431,-9732.7,9772.34,-15194.8,495,-999999,-999999,-999999,-999999,2112
3651,0,1878,-0.583872,-0.573343,-0.574779,2494.75,-15583.6,-13118.5,536,-999999,-999999,-999999,-999999,1878
3652,0,2279,-0.583144,-0.580816,-0.567975,7245.76,3224.18,-18954.4,458,-999999,-999999,-999999,-999999,2279
3653,0,2144,-0.584144,-0.575638,-0.572203,3583.81,-11029.7,-16932.1,584,-999999,-999999,-999999,-999999,2144
3654,0,2013,-0.575805,-0.580702,-0.575529,-13761,-5374.13,-14233.9,561,-999999,-999999,-999999,-999999,2013
3655,0,1428,-0.0897233,-0.508595,-0.856318,-3131.5,19563.6,-5210.75,452,-4074.36,14219,-14209.4,487,2101
3655,1,1428,-0.189175,-0.751401,-0.632147,-3131.5,19563.6,-5210.75,452,-7244.39,3227.25,-18954.4,531,2301
3656,0,1844,-0.576362,-0.578507,-0.577179,-13428.4,-9756.38,-12029.9,526,-999999,-999999,-999999,-999999,1844
3657,0,1696,-0.583144,-0.572417,-0.576439,889.273,-17523.3,-10619.5,506,-999999,-999999,-999999,-999999,1696
3658,0,2105,-0.574908,-0.586431,-0.570595,-6783.11,13123.8,-14233.9,416,-999999,-999999,-999999,-999999,2105
3659,0,908,-0.57998,-0.569464,-0.582524,-2124.87,-20217.5,2251.77,538,-999999,-999999,-999999,-999999,908
3660,0,2118,-0.573707,-0.584838,-0.573432,-13761,5374.04,-14233.9,499,-999999,-999999,-999999,-999999,2118
3661,0,2144,-0.584144,-0.575638,-0.572203,3583.81,-11029.7,-16932.1,579,-999999,-999999,-999999,-999999,2144
3662,0,2159,-0.583874,-0.580175,-0.56788,11550.4,5142.63,-16159.2,575,-999999,-999999,-999999,-999999,2159
3663,0,967,-0.582787,-0.576033,-0.573189,19035.9,7225.04,2251.77,372,-999999,-999999,-999999,-999999,967
3664,0,1173,-0.584625,-0.574754,-0.572601,20253.2,3026.43,-730.744,403,-999999,-999999,-999999,-999999,1173
3665,0,909,0.882321,-0.467634,-0.0531894,-11614.1,-16801.2,1755.81,507,-7432.41,-19017.5,1503.73,503,891
3666,0,890,-0.574546,-0.57367,-0.583781,-13602.6,-15107.3,2251.77,513,-999999,-999999,-999999,-999999,890
3667,0,2345,-0.581242,-0.580339,-0.570407,-1629.91,-3180.93,-20240.4,570,-999999,-999999,-999999,-999999,2345
3668,0,871,-0.569691,-0.579582,-0.582699,-20122.1,-3109.37,2251.77,428,-999999,-999999,-999999,-999999,871
3669,0,1946,-0.655479,-0.637904,-0.40426,7956.23,14631.5,-11952.8,460,-4856.53,2162.24,-19854.9,519,2246
3670,0,2311,-0.581538,-0.579399,-0.571061,-1766.51,-5436.82,-19750.3,587,-999999,-999999,-999999,-999999,2311
3671,0,2037,-0.583299,-0.574203,-0.574503,858.731,-14748.2,-14233.9,578,-999999,-999999,-999999,-999999,2037
3672,0,1002,0.147379,-0.818803,-0.554834,1278.66,20459,207.494,409,6201.15,-6889.18,-18324.1,560,2207
3673,0,2040,-0.583756,-0.574577,-0.573664,2129.88,-13626.7,-15194.8,570,-999999,-999999,-999999,-999999,2040
3674,0,868,0.317092,0.0500668,-0.947072,-20462.3,-748.422,991.279,492,-15722.3,0,-13166,571,2007
3675,0,1040,-0.568376,-0.582358,-0.581213,-19884.6,4226.53,2251.77,412,-999999,-999999,-999999,-999999,1040
3676,0,1062,-0.571697,-0.578054,-0.582251,-18842.3,-7932.87,-730.744,521,-999999,-999999,-999999,-999999,1062
3677,0,2324,-0.581762,-0.58199,-0.56819,3557.16,3950.66,-19854.9,386,-999999,-999999,-999999,-999999,2324
3678,0,1348,-0.585199,-0.569757,-0.576991,8941.79,-17681.8,-5210.75,730,-999999,-999999,-999999,-999999,1348
3679,0,1842,-0.57583,-0.579838,-0.576374,-14049.9,-7188.24,-13118.5,573,-999999,-999999,-999999,-999999,1842
3680,0,1972,-0.57459,-0.586676,-0.570664,-5789.44,15122.2,-12584.1,503,-999999,-999999,-999999,-999999,1972
3681,0,2169,-0.578509,-0.58501,-0.56841,1321.56,12574.3,-16159.2,469,-999999,-999999,-999999,-999999,2169
3682,0,1421,-0.411251,-0.481884,-0.773731,2830.31,19438.8,-5862.66,429,-2129.88,13626.7,-15194.8,474,2171
3683,0,2208,-0.584606,-0.577,-0.570357,6201.15,-6889.18,-18324.1,535,-999999,-999999,-999999,-999999,2208
3684,0,2145,-0.585027,-0.574986,-0.571957,6321.81,-10949.6,-16159.2,555,-999999,-999999,-999999,-999999,2145
3685,0,1022,-0.568745,-0.585299,-0.577887,-13602.7,15107.2,2251.77,318,-999999,-999999,-999999,-999999,1022
3686,0,1040,-0.568376,-0.582358,-0.581213,-19884.6,4226.53,2251.77,413,-999999,-999999,-999999,-999999,1040
